
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-07-04完成 | 滚动高风险 | q=0.85 | SOC：9907.5->9615.0 | 临时购电：2402.9kWh | 总费用：33083.25元
2025-07-05完成 | 滚动高风险 | q=0.85 | SOC：9615.0->9750.0 | 临时购电：2940.5kWh | 总费用：36975.40元
2025-07-06完成 | 滚动高风险 | q=0.85 | SOC：9750.0->9795.0 | 临时购电：6286.9kWh | 总费用：77293.45元
2025-07-07完成 | 滚动高风险 | q=0.85 | SOC：9795.0->9727.5 | 临时购电：519.2kWh | 总费用：51901.27元
2025-07-08完成 | 滚动高风险 | q=0.85 | SOC：9727.5->10807.5 | 临时购电：18.2kWh | 总费用：59983.71元
2025-07-09完成 | 滚动高风险 | q=0.85 | SOC：10807.5->10807.5 | 临时购电：11.4kWh | 总费用：61297.71元
2025-07-10完成 | 滚动常规 | q=0.75 | SOC：10807.5->10672.5 | 临时购电：77.9kWh | 总费用：54707.63元
2025-07-11完成 | 滚动常规 | q=0.75 | SOC：10672.5->10695.0 | 临时购电：165.2kWh | 总费用：27233.50元
2025-07-12完成 | 滚动常规 | q=0.75 | SOC：10695.0->10537.5 | 临时购电：53.7kWh | 总费用：26626.33元
2025-07-13完成 | 滚动常规 | q=0.80 | SOC：10537.5->10807.5 | 临时购电：34.8kWh | 总费用：55009.49元
2025-07-14完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：31.9kWh | 总费用：55530.72元
2025-07-15完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：21.9kWh | 总费用：57011.38元
2025-07-16完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：31.3kWh | 总费用：55200.32元
2025-07-17完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：23.5kWh | 总费用：54491.88元
2025-07-18完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：145.5kWh | 总费用：28179.16元
2025-07-19完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：15.6kWh | 总费用：28017.79元
2025-07-20完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：16.5kWh | 总费用：56574.78元
2025-07-21完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：12.6kWh | 总费用：55897.63元
2025-07-22完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：23.2kWh | 总费用：57655.14元
2025-07-23完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：25.9kWh | 总费用：56673.97元
2025-07-24完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：84.5kWh | 总费用：56192.92元
2025-07-25完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：110.7kWh | 总费用：28027.27元
2025-07-26完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：34.3kWh | 总费用：28275.75元
2025-07-27完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：341.5kWh | 总费用：57643.64元
2025-07-28完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：449.2kWh | 总费用：56380.32元
2025-07-29完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：21.0kWh | 总费用：57468.40元
2025-07-30完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：23.8kWh | 总费用：55648.14元
2025-07-31完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：19.9kWh | 总费用：56487.49元
2025-08-01完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：21.1kWh | 总费用：27359.25元
2025-08-02完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：8.9kWh | 总费用：27380.97元
2025-08-03完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：11.1kWh | 总费用：53145.81元
2025-08-04完成 | 滚动常规 | q=0.80 | SOC：10807.5->10807.5 | 临时购电：14.2kWh | 总费用：50564.21元
2025-08-05完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：9.5kWh | 总费用：49560.87元
2025-08-06完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：870.5kWh | 总费用：52065.38元
2025-08-07完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：21.9kWh | 总费用：47894.39元
2025-08-08完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：27.9kWh | 总费用：26054.18元
2025-08-09完成 | 滚动常规 | q=0.75 | SOC：10807.5->10807.5 | 临时购电：153.0kWh | 总费用：26174.42元
